"question","expected_answer","generated_answer","BLEU","ROUGE-1","ROUGE-L","Semantic Similarity","NLI_RESULT","Contradiction","Neutral","Entailment","METEOR","BERT_F1","F1_SCORE"
"What services does Pristyn Care offer?","Pristyn Care offers surgical procedures, consultations, and post-operative care.","Clinics, Pharmacy, Surgery, Outpatient cares.
","0.0","0.13333333333333333","0.13333333333333333","0.6039823293685913","entailment","0.04099132865667343","0.2506026029586792","0.7084060311317444","0.0","0.0744","0.0"
"What is the main focus of Stripe's Financial Connections service?","To help businesses connect to their customers’ bank accounts for verification and fraud reduction.","To help businesses connect to their customers’ bank accounts for verifying bank accounts, checking balances, and confirming account ownership.
","0.4940911248125205","0.6666666666666667","0.6666666666666667","0.8929864168167114","neutral","0.000726065132766962","0.9899354577064514","0.009338495321571827","0.7404","0.77","0.6667"
"What are the controversies surrounding Bitmain?","Controversies include concerns about centralization of mining power, hardware reliability issues, and internal management disputes.","- Involved in Hong Kong's first cryptocurrency-related litigation in the High Court in 2015.
- Sued Zuoxing Yang, a former Bitmain chip design director, over patent rights infringements in 2017.
- Involved in a class action lawsuit of US$5 million in 2018.
- Involved in a legal dispute against a Labrador mining farm in 2018.
- Micree Zhan filed multiple lawsuits in the Cayman Islands and China against various entities of Bitmain in November 2019.
- United States Department of Commerce placed a Bitmain subsidiary, Sophgo, on its Entity List in January 2025.
- Involved in the 2018 Bitcoin Cash split.
","0.002352256366585565","0.07142857142857142","0.053571428571428575","0.5207616686820984","contradiction","0.7237167954444885","0.24307861924171448","0.033204637467861176","0.0636","-0.0237","0.0714"
"What is Zilch and what type of financial technology company is it?","Zilch Technology Ltd., known as Zilch, is a direct-to-consumer ad-subsidised payments network (ASPN) and financial technology company.","Zilch is a direct-to-consumer ad-subsidised payments network and a FinTech company.
","0.2961619393774927","0.7058823529411764","0.7058823529411764","0.914559006690979","entailment","0.0025031408295035362","0.006045570597052574","0.9914513230323792","0.4675","0.5716","0.6923"
"What is Royole's expansion strategy?","Royole focuses on expanding its manufacturing capacity and developing new applications for its flexible display technology.","I don't know.
","0.0","0.0","0.0","0.2805681526660919","contradiction","0.7330116629600525","0.179932102560997","0.08705627173185349","0.0","-0.0504","0.0"
"What are Pony.ai's partnerships?","Pony.ai has partnerships with various automotive manufacturers and technology companies to develop and deploy its technology.","Toyota, Sany Heavy Industry, and GAC-Toyota.
","0.007710814196876619","0.08333333333333333","0.08333333333333333","0.5131239891052246","neutral","0.029912400990724564","0.9672251343727112","0.002862483961507678","0.0333","0.0539","0.0952"
"What major acquisitions has Trulioo made and what new services have they added?","Trulioo acquired HelloFlow in February 2022, adding customer onboarding to their platform. They have also added AML Watchlist Screening, Business Verification, and proof-of-address services.","Acquisitions:
*   HelloFlow (February 2022)

New services:

*   AML Watchlist Screening
*   Business Verification services
*   Proof-of-address service via utility providers
*   Global identity platform for individual and business verification (January 31, 2023)
","0.015021239977027565","0.5","0.42857142857142855","0.8372363448143005","entailment","0.042436160147190094","0.2566036880016327","0.7009602189064026","0.1712","0.0824","0.2353"
"What controversies has Bunq faced?","Bunq has faced criticism for its alleged use by criminals, lax security procedures, poor customer support, privacy concerns regarding employee access to customer data, and attempts to intimidate critics.","-Usage of Bunq by criminals
-Helpdesk fraud
-Privacy concerns
-Contacting and intimidating those who have criticised the bank online or edited its Wikipedia page.
","0.009607695286097472","0.3018867924528302","0.26415094339622647","0.8047217130661011","neutral","0.0064199273474514484","0.9708632230758667","0.022716879844665527","0.1053","0.1921","0.1961"
"What happened to Babylon Health's operations in Rwanda?","Babylon was 'winding down' its business in Rwanda, potentially disrupting care for 2.8 million people.","Babylon was ""winding down"" its business in Rwanda in August 2023.
","0.08154855185641265","0.5925925925925926","0.5925925925925926","0.8924169540405273","neutral","0.0021719594951719046","0.9970711469650269","0.0007569118752144277","0.3055","0.561","0.4"
"When did Nextdoor become a publicly traded company?","November 2021.","November 2021.
","0.316227766016838","1.0","1.0","1.0000001192092896","entailment","0.01281719096004963","0.057058848440647125","0.9301239848136902","0.9375","1.0","1.0"
"What are the primary products Zipline's drones deliver?","Whole blood, platelets, frozen plasma, cryoprecipitate, vaccines, infusions, and common medical commodities.","Whole blood, platelets, frozen plasma, and cryoprecipitate along with medical products, including vaccines, infusions, and common medical commodities.
","0.46606087123583245","0.8","0.8","0.9711505770683289","entailment","0.002082206541672349","0.0671611949801445","0.9307566285133362","0.8704","0.7993","0.7857"
"What is Suning's strategy in the retail sector?","Suning focuses on integrating online and offline retail experiences through its 'smart retail' strategy.","I don't know.
","0.0","0.0","0.0","0.2614303231239319","contradiction","0.6419883966445923","0.2262188196182251","0.13179275393486023","0.0","-0.0613","0.0"
"What is Chime SpotMe?","Chime SpotMe is a fee-free overdraft service that allows eligible members to overdraw their accounts without incurring fees.","A fee-free overdraft service where customers can overdraw their accounts up to $100 without incurring an overdraft fee.
","0.10521495173810227","0.631578947368421","0.5789473684210527","0.800520658493042","neutral","0.000801827700342983","0.9977613687515259","0.0014368008123710752","0.4956","0.5965","0.5714"
"How many employees does Tanium have?","Tanium has 2,000 employees.","2,000
","0.008853531856477262","0.5714285714285715","0.5714285714285715","0.6233957409858704","entailment","0.016572169959545135","0.0447978712618351","0.9386299252510071","0.1351","0.1992","0.4"
"What are Airtable's view types?","Airtable offers various view types, including grid, form, calendar, kanban, and gallery views, to visualize data in different ways.","I don't know.
","0.0","0.0","0.0","0.2927638292312622","contradiction","0.8260965943336487","0.10774361342191696","0.06615978479385376","0.0","-0.107","0.0"
"What is Airwallex's focus on foreign exchange?","Airwallex provides competitive foreign exchange rates and tools for managing currency risk.","The Airwallex platform was developed to lower consumer costs on foreign exchange rates.
","0.036362270465000714","0.32","0.32","0.7888246774673462","neutral","0.001802130602300167","0.8999614119529724","0.09823644161224365","0.2112","0.4595","0.24"
"What is GoPuff?","GoPuff is a digital delivery service that delivers everyday essentials, snacks, drinks, and home essentials directly to customers.","An American consumer goods and food delivery company headquartered in Philadelphia, Pennsylvania.
","0.0122858765681624","0.13333333333333333","0.06666666666666667","0.596215009689331","neutral","0.002632591174915433","0.9316379427909851","0.06572946161031723","0.0575","0.1227","0.1333"
"How did Zerodha achieve unicorn status?","Zerodha became a ""unicorn"" in June 2020 with a self-assigned valuation of around $1 billion based on an ESOP buyback.","In June 2020, Zerodha became a ""unicorn "" with a self-assigned valuation of around $1 billion based on an ESOP buyback.
","0.6677604630703731","1.0","0.8571428571428571","0.9920843839645386","entailment","0.0013687973842024803","0.004723898135125637","0.9939072728157043","0.8934","0.8537","0.8718"
"What type of products does Shein primarily sell?","Fast fashion, including women's clothing, men's apparel, children's wear, accessories, and more.","Women's clothing.
","0.0","0.33333333333333337","0.33333333333333337","0.6603122353553772","entailment","0.07580933719873428","0.11578081548213959","0.8084098696708679","0.0455","0.2435","0.1429"
"What services does Bolt Financial offer?","Bolt Financial offers a checkout platform, fraud protection, and shopper identity management for e-commerce businesses.","Software to facilitate one-click online checkouts.
","0.0","0.08695652173913043","0.08695652173913043","0.5649049878120422","entailment","0.0050608087331056595","0.4848533570766449","0.5100858807563782","0.0","0.2619","0.0"
"What is Sword Health and what industry does it operate in?","Sword Health is a Portuguese health care company that provides virtual and digital physical therapy, operating in the e-health industry.","Sword Health is a Portuguese health care company that provides virtual and digital physical therapy, operating in the e-health industry.
","1.0","1.0","1.0","1.0000001192092896","entailment","0.0013865564251318574","0.004728046245872974","0.993885338306427","0.9999","1.0","1.0"
"What is the estimated number of styles added to Shein's app daily?","Between 2,000 and 10,000.","Between 2,000 and 10,000.
","1.0","1.0","1.0","1.0000001192092896","entailment","0.005787398666143417","0.023107100278139114","0.9711054563522339","0.9922","1.0","1.0"
"How many employees does Stripe have as of 2025?","8,500.","8,500
","0.0","1.0","1.0","0.9843319058418274","entailment","0.016044240444898605","0.0796113982796669","0.904344379901886","0.0","0.9102","0.0"
"What is the range of Zipline's Platform 1 drones?","They can fly up to 300 km on a charge, but deliveries are typically limited to a maximum of 80 km.","100 km (62 mi)
","0.0011460290896963962","0.08","0.08","0.5753293633460999","contradiction","0.5309019684791565","0.2580542266368866","0.2110438346862793","0.0259","-0.0489","0.087"
"What is Snyk's integration capabilities?","Snyk integrates with various development tools and platforms, including Git repositories, CI/CD pipelines, and container registries.","I don't know.
","0.0","0.0","0.0","0.306317538022995","contradiction","0.7829825282096863","0.13932394981384277","0.07769352197647095","0.0","-0.1274","0.0"
"What is the primary service offered by FlixMobility?","Low-cost intercity coach services.","Low-cost intercity coach services.
","1.0","1.0","1.0","1.0000001192092896","entailment","0.005232037510722876","0.029777241870760918","0.9649906754493713","0.9922","1.0","1.0"
"What is Trendyol?","Trendyol is a leading e-commerce platform in Turkey.","E-commerce.
","0.0","0.3636363636363636","0.3636363636363636","0.6483973264694214","entailment","0.044026318937540054","0.25335806608200073","0.7026156187057495","0.0","0.2212","0.0"
"What is the primary function of the Moveworks platform?","To resolve workplace requests for large enterprises using an AI platform and chatbot.","Uses natural language understanding, probabilistic machine learning, and automation to resolve workplace requests.
","0.036362270465000714","0.46153846153846156","0.3076923076923077","0.7865777015686035","neutral","0.001622844603843987","0.8860135674476624","0.1123635545372963","0.3431","0.4092","0.3077"
"What is Ola Cabs' role in the Indian transportation sector?","Ola Cabs is a major player in the Indian transportation sector, providing convenient and affordable ride-sharing services.","Ola Consumer, formerly Ola Cabs, is an Indian transportation company that provides ride-hailing services.
","0.030656182161671746","0.4848484848484848","0.4848484848484848","0.8582857847213745","entailment","0.09487896412611008","0.22575977444648743","0.6793611645698547","0.2553","0.5502","0.3333"
"What products did JUUL Labs produce?","JUUL Labs produced the JUUL vaping device and flavored nicotine pods.","Electronic cigarettes.
","0.0","0.0","0.0","0.5260518789291382","entailment","0.07714162766933441","0.29898157715797424","0.6238768100738525","0.0","0.1743","0.0"
"What is Royole's focus on consumer products?","Royole develops its own consumer products, such as flexible display devices, to showcase its technology.","Royole Corporation was a manufacturer of flexible displays and sensors that can be used in a range of human-machine interface products, including foldable smartphones and other smart devices.
","0.008839374326825921","0.22727272727272724","0.18181818181818182","0.8055236339569092","neutral","0.0007204199791885912","0.9873205423355103","0.011959084309637547","0.1936","0.3644","0.1538"
"What technical problems has Zerodha faced?","Zerodha has faced multiple reports of technical issues, including glitches, system outages, and connectivity problems on its Kite platform, particularly during high market volatility and F&O expiry days.","Glitches, system outages and connectivity issues on Zerodha's Kite platform.
","0.009276941106601055","0.5000000000000001","0.4","0.9179154634475708","entailment","0.0011075630318373442","0.013673917390406132","0.9852185845375061","0.1627","0.4525","0.3243"
"What is Rappi's role in the Latin American digital economy?","Rappi is a significant player in the Latin American digital economy, providing a wide range of services through its super-app platform.","Rappi is a Latin American super-app that provides services such as food delivery, grocery delivery, mobile payment, online shopping, and online travel agency.
","0.056066684111954215","0.3913043478260869","0.30434782608695654","0.8864303827285767","neutral","0.0007193460478447378","0.9976398944854736","0.0016407354269176722","0.3247","0.4495","0.3415"
"What is Rappi's expansion strategy?","Rappi focuses on expanding its services and geographic reach in Latin America's growing digital economy.","Rappi is expanding its offerings to compete with other entertainment giants such as Spotify.
","0.03112418223320603","0.19999999999999998","0.19999999999999998","0.7321435213088989","neutral","0.0008122972212731838","0.9977620840072632","0.0014256886206567287","0.1715","0.3218","0.2069"
"Who is Discord's primary user base?","Discord's primary user base includes gamers, online communities, and various interest groups.","Gamers.
","0.0","0.14285714285714288","0.14285714285714288","0.5623722672462463","entailment","0.19458472728729248","0.3877525329589844","0.41766276955604553","0.0","0.1037","0.0"
"What is Bolt's focus on shopper identity?","Bolt aims to create a network of verified shoppers, reducing the need for repeated logins and improving the shopping experience.","I don't know.
","0.0","0.0","0.0","0.25519460439682007","contradiction","0.8866400718688965","0.08595141023397446","0.027408542111516","0.0","0.0324","0.0"
"How does Andela support talent development?","Andela provides training and mentorship to developers in its network.","Andela supports talent development through:

-   Andela Learning Community: provides training programs and scholarships to technologists in Africa.
-   Training in software languages.
","0.023050898626566643","0.45161290322580644","0.3870967741935483","0.8280776143074036","neutral","0.00288349948823452","0.9699965715408325","0.02711988240480423","0.3097","0.2601","0.4138"
"What is Klaviyo's focus on automation?","Klaviyo focuses on automating marketing workflows to improve efficiency and deliver timely messages.","Klaviyo provides a marketing automation platform, used primarily for email marketing and SMS marketing.
","0.018798317647335087","0.29629629629629634","0.29629629629629634","0.8258204460144043","neutral","0.0007871258421801031","0.9974978566169739","0.001715035643428564","0.1527","0.5332","0.2308"
"What are the challenges faced by Viva Republica?","Challenges include competition from established financial institutions and regulatory compliance in the fintech sector.","I don't know.
","0.0","0.0","0.0","0.28509265184402466","contradiction","0.7903707027435303","0.1477261185646057","0.061903148889541626","0.0","0.017","0.0"
"What types of companies does DCG invest in?","DCG invests in a wide range of blockchain and cryptocurrency companies, including exchanges, infrastructure providers, and digital asset managers.","Blockchain technology companies and companies in the digital currency market.
","0.01129295625547186","0.3448275862068966","0.27586206896551724","0.6754434108734131","entailment","0.0015369447646662593","0.04484497755765915","0.953618049621582","0.1105","0.2697","0.2963"
"What is XtalPi's involvement in material science?","XtalPi is helping commercialize Perovskite for more energy-efficient solar panels and is working on materials for electric vehicle batteries.","XtalPi has ventured into material science, helping commercialize Perovskite for solar panels and working on materials for electric vehicle batteries.
","0.4881010344921759","0.75","0.75","0.9555041193962097","entailment","0.0011249922681599855","0.1358308345079422","0.8630441427230835","0.7779","0.783","0.7778"
"How does PhonePe ensure transaction security?","PhonePe uses encryption and security measures to protect user data and financial information.","I don't know.
","0.0","0.0","0.0","0.2940588593482971","contradiction","0.8711218237876892","0.08906608819961548","0.039812084287405014","0.0","-0.0524","0.0"
"Briefly describe the violent dispute involving Hey Tea staff.","Hey Tea staff in Jinan had a physical conflict with a takeaway rider, reportedly due to a misunderstanding when taking the products. The incident involved staff picking up chairs and other equipment.","Hey Tea staff had a physical conflict with a takeaway rider on September 14 due to a misunderstanding when taking the products.
","0.4052134985074781","0.7037037037037037","0.7037037037037037","0.9087478518486023","neutral","0.00117583479732275","0.9977453351020813","0.0010787390638142824","0.5699","0.6746","0.6667"
"What is CRED's expansion strategy?","CRED focuses on expanding its user base and partnerships with brands and financial institutions in India.","I don't know.
","0.0","0.0","0.0","0.26472219824790955","contradiction","0.7761024832725525","0.1402689665555954","0.08362852036952972","0.0","-0.0686","0.0"
"How has Quora grown in terms of user base and reach?","As of 2020, the website was visited by 300 million users a month. Quora's user base increased rapidly in its early years, and it has expanded its reach through multilingual support.","- By late December 2010, the site was seeing spikes of visitors five to ten times its usual load.
- In May 2013, usage metrics had tripled relative to the same time in the prior year.
- In April 2017, Quora claimed to have 190 million monthly unique visitors, up from 100 million a year earlier.
- In September 2018, Quora reported that it was receiving 300 million unique visitors every month.
","0.00797747599484009","0.26","0.12","0.8067969083786011","neutral","0.02616729959845543","0.9655093550682068","0.008323329500854015","0.2102","0.2476","0.2558"
"What kind of partnerships does Via Transportation engage in?","Partnerships with cities, transit agencies, schools, universities, healthcare providers, and corporations.","Via Transportation engages in partnerships with cities, transit agencies, schools and universities, healthcare providers, and corporations.
","0.3835193624233828","0.8148148148148148","0.8148148148148148","0.8631137609481812","neutral","0.008009646087884903","0.7100001573562622","0.2819902002811432","0.8661","0.6635","0.7692"
"What is Zerodha's business model and how does it generate revenue?","Zerodha applies a fixed commission of up to ₹20 for equity trading and derivative transactions, while equity delivery is commission-free. It also generates revenue from commodity trading through its subsidiary and mutual fund services.","Zerodha offers an electronic trading platform.

Revenue:
*   Equity trading
*   Derivatives trading
*   Currency trading
*   Commodity trading
*   Mutual funds
*   Bonds","0.006865608205372725","0.33962264150943394","0.3018867924528302","0.8078106045722961","neutral","0.02052929811179638","0.8859375715255737","0.09353310614824295","0.1913","-0.013","0.2174"
"What is Ro?","Ro is a telehealth company that provides online healthcare services and prescription medications for various conditions.","An American telehealth company.
","0.004000034562268221","0.2","0.2","0.6657081246376038","neutral","0.011626634746789932","0.9706272482872009","0.017746126279234886","0.0338","0.4085","0.1"
"What is Telegram?","Telegram is a cross-platform, cloud-based instant messaging service.","Telegram, also known as Telegram Messenger, is a cloud-based, cross-platform, social media and instant messaging (IM) service.
","0.039567167294524315","0.6896551724137931","0.5517241379310345","0.9358604550361633","neutral","0.0030408750753849745","0.8548474907875061","0.1421116143465042","0.6432","0.6408","0.56"
"What is Bolt Financial's integration capabilities?","Bolt Financial integrates with various e-commerce platforms, including Shopify, Magento, and BigCommerce.","I don't know.
","0.0","0.0","0.0","0.30288541316986084","contradiction","0.7585629820823669","0.1554756760597229","0.08596132695674896","0.0","-0.0722","0.0"
"How does iCapital simplify access to alternative investments?","iCapital provides a centralized platform for accessing and managing alternative investments, reducing the complexity and barriers to entry.","iCapital invests in private funds and assembles the fund allocation into vehicles that can be accessed more broadly by investors.
","0.012673718536830811","0.2631578947368421","0.15789473684210525","0.7740370631217957","neutral","0.0013586471322923899","0.9960026144981384","0.002638675970956683","0.1099","0.3578","0.1622"
"What is Canva's approach to design tools?","Canva aims to provide user-friendly and intuitive design tools.","The platform uses a drag-and-drop interface intended to simplify the design process.
","0.020255986027125642","0.25","0.16666666666666666","0.550385594367981","neutral","0.0007886237581260502","0.9976971745491028","0.0015141755575314164","0.1075","0.3874","0.2"
"When was Avant founded and who are its founders?","Avant was founded in 2012 by Al Goldstein, John Sun, and Paul Zhang.","Founded: 2012
Founders: Al Goldstein, John Sun, and Paul Zhang
","0.39803049244579564","0.7826086956521738","0.7826086956521738","0.7779139280319214","entailment","0.00663400162011385","0.020750027149915695","0.9726158976554871","0.5448","0.5572","0.6087"
"What technology does Avant use to determine creditworthiness?","Avant uses proprietary technology that applies algorithms, machine-learning protocols, and analytical tools in addition to standard consumer data to determine creditworthiness.","Algorithms, machine-learning protocols, and analytical tools.
","0.041710075933029465","0.4827586206896552","0.4827586206896552","0.6411393284797668","entailment","0.004370218608528376","0.024072173982858658","0.9715576171875","0.2554","0.4211","0.3846"
"What did users and officials criticize about Nextdoor's 'crime and safety' section?","It was criticized for fostering an atmosphere of 'paranoid hysteria' and racial profiling, particularly in wealthier neighborhoods.","Some Nextdoor users have been racially profiling people of color. Officials were wary of being seen as endorsing a website that enables racial profiling. Some were concerned over hyperactive ""crime and safety"" sections.
","0.007434360163166208","0.16","0.12000000000000001","0.5796695947647095","neutral","0.0017084190621972084","0.9870994687080383","0.011192050762474537","0.0806","0.2536","0.1277"
"What is United Imaging's focus on research and development?","United Imaging invests heavily in research and development to innovate in medical imaging and radiotherapy.","manufactures medical imaging and radiotherapy equipment.
","0.04508379481408805","0.3809523809523809","0.3809523809523809","0.6922722458839417","entailment","0.003204216482117772","0.09476970136165619","0.9020260572433472","0.2088","0.4615","0.3333"
"What is Anduril's primary focus?","Anduril's primary focus is on developing advanced technology to address national security challenges.","Autonomous systems.
","0.0","0.0","0.0","0.45590001344680786","neutral","0.107927605509758","0.8584332466125488","0.033639129251241684","0.0","0.0961","0.0"
"How does Wayflyer's revenue-based financing model differ from traditional lending?","Wayflyer's revenue-based financing is tailored for companies with revenue streams like advertising and non-recurring revenue, likely focusing more on future revenue potential than traditional collateral-based lending.","I don't know.
","0.0","0.0","0.0","0.26800456643104553","neutral","0.37539970874786377","0.5104910731315613","0.11410926282405853","0.0","-0.0851","0.0"
"What is Miro's approach to user experience?","Miro focuses on providing a user-friendly and intuitive interface for visual collaboration.","I don't know.
","0.0","0.0","0.0","0.2990320026874542","contradiction","0.7856335043907166","0.13927362859249115","0.07509288936853409","0.0","-0.0132","0.0"
"Where is Revolut headquartered?","Revolut is headquartered in London, England.","London, England
","0.020237345084409754","0.5","0.5","0.6336477398872375","entailment","0.003713093465194106","0.0297369584441185","0.9665499925613403","0.0893","-0.0027","0.25"
"How does Gett cater to corporate clients?","Gett provides corporate transportation solutions with features like centralized billing and ride management tools.","Gett is a B2B Ground Transportation Management (GTM) platform and marketplace.","0.01706602014357155","0.32","0.23999999999999996","0.7600495219230652","neutral","0.0744912326335907","0.673450231552124","0.25205856561660767","0.146","0.3503","0.32"
"How does OneTrust help organizations comply with data privacy regulations?","OneTrust provides tools for managing data privacy compliance, including assessments, consent management, and incident response.","OneTrust's software assists companies in complying with international and domestic privacy laws.
","0.015775377779808884","0.21428571428571427","0.14285714285714288","0.7629296779632568","neutral","0.0004949053400196135","0.99614417552948","0.0033608146477490664","0.068","0.4696","0.1481"
"How did Zocdoc change its pricing model in 2019 and what were the effects?","Zocdoc changed its pricing model from subscription to referral fee in some markets. This change resulted in a 50 percent increase in the number of providers on its platform and increased the company's revenue.","In January 2019, Zocdoc changed its pricing model from subscription to referral fee in some markets. The change resulted in a 50 percent increase in the number of providers on its platform in states that have transitioned to the new payment model, and the company reported its revenue had increased after growing 35 percent year-over-year in 2019.
","0.46029621962711426","0.7021276595744681","0.6808510638297872","0.9322077035903931","neutral","0.0010301670990884304","0.9978368878364563","0.0011330351699143648","0.7393","0.6611","0.72"
"Who is Taopiaopiao's main competitor?","Taopiaopiao's main competitor is Maoyan.","Maoyan.
","0.003257032351754417","0.2857142857142857","0.2857142857142857","0.7321379780769348","entailment","0.10185626894235611","0.1940576285123825","0.7040860652923584","0.1087","0.0464","0.3333"
"What are Taopiaopiao's main services?","Taopiaopiao's main services include online movie ticket distribution and film promotion.","Online movie ticket distributor and film promotion service.
","0.05709324736182451","0.7000000000000001","0.6","0.762173593044281","entailment","0.003598106326535344","0.006987631320953369","0.9894142150878906","0.4523","0.4366","0.5263"
"What are the challenges faced by Oyo Rooms?","Challenges include maintaining quality standards, managing partnerships, and competing in a competitive hospitality market.","- Dispute with Zostel over acquisition.
- Insolvency resolution process initiated in April 2021.
- Threat to privacy due to planned digital register mechanism.
","0.007913247271422612","0.057142857142857134","0.057142857142857134","0.44596362113952637","contradiction","0.767404317855835","0.1856633722782135","0.04693233221769333","0.0333","0.0712","0.0571"
"What is Lianjia's focus on technology?","Lianjia uses technology to improve its services and provide a seamless experience for customers.","I don't know.
","0.0","0.0","0.0","0.26160240173339844","contradiction","0.7580738663673401","0.1518813967704773","0.09004475176334381","0.0","-0.0555","0.0"
"What services does Clio offer?","Clio offers legal practice management, client relationship management, and document management tools.","Cloud-based software that handles law practice management tasks including client intake, contact management, calendaring, document management, timekeeping, billing, and trust accounting.
","0.014857839440651324","0.4117647058823529","0.3529411764705882","0.6934310793876648","neutral","0.0014151193900033832","0.9627594947814941","0.0358254611492157","0.2713","0.4456","0.3871"
"What is Biosplice's approach to drug development?","Biosplice uses a proprietary platform to identify and develop small molecule therapeutics that modulate alternative splicing.","Biosplice's products in development target novel components of the Wnt signaling pathway.
","0.0","0.13793103448275862","0.13793103448275862","0.7623475193977356","neutral","0.1928778886795044","0.6836546659469604","0.12346747517585754","0.0321","0.3869","0.0"
"Where are Pine Labs' corporate and registered offices located?","Corporate office: Noida, Uttar Pradesh, India. Registered office: Gurgaon, Haryana, India.","Corporate Office: Noida, Uttar Pradesh
Registered Office: Gurgaon, Haryana, India
","0.06320598870573935","0.9523809523809523","0.9523809523809523","0.9921630024909973","entailment","0.0038286708295345306","0.028600143268704414","0.9675711989402771","0.7282","0.8155","0.7778"
"What is Getir's approach to customer service?","Getir focuses on providing a seamless and convenient shopping experience through its mobile app and delivery service.","I don't know.
","0.0","0.0","0.0","0.2243567854166031","contradiction","0.7484560608863831","0.14278559386730194","0.1087583526968956","0.0","-0.0499","0.0"
"What is the performance of loans issued through Prosper Marketplace?","Prosper maintains a public database of all loans, allowing for analysis of loan performance. They report a 10.69% annualized seasoned rate of return, net of fees, for loans issued from July 2009 to September 2011, which was independently audited.","Prosper reports a 10.69% annualized seasoned rate of return, net of fees, for all loans issued from its re-opening after SEC registration (July 1, 2009) to the 30th of September, 2011.
","0.30046936194796464","0.6575342465753425","0.6027397260273972","0.9006657600402832","neutral","0.0014902791008353233","0.9437862634658813","0.054723501205444336","0.4611","0.5719","0.5079"
"What was the revenue and net income of Pine Labs in FY23?","Revenue: ₹1,588 crore (US$180 million). Net income: ₹−227 crore (US$−26 million).","Revenue: ₹ 1,588 crore (US$180 million)
Net income: ₹ −227 crore (US$−26 million)
","0.0591460168684858","1.0","1.0","0.9934510588645935","entailment","0.00551215186715126","0.032347049564123154","0.9621407389640808","0.5667","0.9005","0.6316"
"What is Octopus Energy's focus on smart technology?","Octopus Energy integrates smart technology into its services to provide innovative and efficient energy solutions.","Octopus is known for innovative tariffs which are made possible by the national rollout of smart meters. They also use their flexibility platform KrakenFlex to enable electric vehicles, heat pumps and other green technologies to be used for grid balancing.
","0.006909792747415067","0.21818181818181814","0.14545454545454545","0.7612699866294861","neutral","0.0012590659316629171","0.997735857963562","0.0010049844859167933","0.1714","0.3168","0.1923"
